
2024/07/16 (14:04:25) | ===> btop++ v.1.3.2
2024/07/16 (14:04:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/16 (14:04:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/16 (23:09:52) | ===> btop++ v.1.3.2
2024/07/16 (23:09:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/16 (23:09:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/16 (23:25:07) | ===> btop++ v.1.3.2
2024/07/16 (23:25:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/16 (23:25:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/17 (03:26:59) | ===> btop++ v.1.3.2
2024/07/17 (03:26:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/17 (03:26:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/17 (07:24:36) | ===> btop++ v.1.3.2
2024/07/17 (07:24:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/17 (07:24:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/17 (11:14:12) | ===> btop++ v.1.3.2
2024/07/17 (11:14:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/17 (11:14:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/17 (20:51:19) | ===> btop++ v.1.3.2
2024/07/17 (20:51:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/17 (20:51:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/17 (20:52:59) | ===> btop++ v.1.3.2
2024/07/17 (20:52:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/17 (20:52:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/17 (20:53:25) | ===> btop++ v.1.3.2
2024/07/17 (20:53:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/17 (20:53:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/17 (20:59:23) | ===> btop++ v.1.3.2
2024/07/17 (20:59:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/17 (20:59:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/18 (00:17:31) | ===> btop++ v.1.3.2
2024/07/18 (00:17:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/18 (00:17:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/18 (15:28:13) | ===> btop++ v.1.3.2
2024/07/18 (15:28:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/18 (15:28:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/19 (14:35:07) | ===> btop++ v.1.3.2
2024/07/19 (14:35:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/19 (14:35:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/22 (21:05:46) | ===> btop++ v.1.3.2
2024/07/22 (21:05:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/22 (21:05:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/24 (08:37:25) | ===> btop++ v.1.3.2
2024/07/24 (08:37:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/24 (08:37:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/24 (20:00:32) | ===> btop++ v.1.3.2
2024/07/24 (20:00:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/24 (20:00:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/25 (18:00:15) | ===> btop++ v.1.3.2
2024/07/25 (18:00:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
